id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958199983873241221,Oasis Garden Apt w/Queen Bed,172539578,David Yisrael,,FIFTEENTH WARD,42.678962799458816,-73.81724461913109,Entire home/apt,116,3,19,2024-12-17,1.23,3,147,18,
803604897479679272,3br/2ba Near Alb Med & St.Petes.,21886921,David,,FOURTEENTH WARD,42.66691,-73.79338,Entire home/apt,125,14,3,2024-11-09,0.14,2,295,2,
1298625208863760034,Mid-century Cozy Retreat W/D,47625981,Linda,,SEVENTH WARD,42.64882383528059,-73.7666466200598,Entire home/apt,107,1,1,2024-12-08,0.35,18,358,1,
879054943124868639,Hot tub + close to everything!,24423279,Leslie,,FOURTEENTH WARD,42.66065,-73.80439,Entire home/apt,165,7,0,,,1,263,0,
1252258297385952172,staycation CAP region,38324986,Gregory,,EIGHTH WARD,42.64548739100758,-73.7896032151887,Entire home/apt,215,3,0,,,1,356,0,
658638185191740358,CHEERFULL 3 BEDROOM HOME WITH FREE PARKING.,466389096,Patrice,,FIRST WARD,42.6374547,-73.7716647,Entire home/apt,126,5,5,2023-09-22,0.16,2,359,0,
618673322156725003,"Huge loft with a king bed, balcony and park views",2554853,Nim,,SIXTH WARD,42.655479431152344,-73.76625061035156,Entire home/apt,135,5,7,2024-07-27,0.25,1,267,1,
1073179963201889958,In the heart of Albany,31994990,Gonca,,SEVENTH WARD,42.64473,-73.77641,Entire home/apt,53,20,2,2024-09-02,0.28,2,71,2,
20620135,/Red Warhol Ranch\ 1959 SUNY Eagle Hill 4beds1Bath,4259750,Peter,,FIFTEENTH WARD,42.675,-73.82382,Entire home/apt,421,1,71,2025-02-07,0.79,8,361,16,
992119832780871644,Two bedroom close to colleges!,152762198,Allen,,FOURTEENTH WARD,42.67098,-73.80695,Entire home/apt,96,3,15,2024-10-28,0.88,9,179,11,
48124042,Downtown Albany 2 Bedroom + Workstation @ The Mark,385664127,Dillon,,THIRD WARD,42.64982,-73.7509,Entire home/apt,98,1,211,2025-02-10,4.86,2,127,39,
1258922176307142144,Cozy Boho 1BR Near Albany Med & St Peter Hospitals,18490980,Jeremy,,SIXTH WARD,42.65337803678852,-73.7728707580915,Entire home/apt,83,2,6,2024-12-30,1.26,2,177,6,
1120212616553191970,1BR Near NYS Capitol & Empire Plaza | Downtown,472965048,Corey,,SIXTH WARD,42.65194,-73.76526,Entire home/apt,85,1,23,2025-02-09,2.05,2,171,23,
1328401906195927790,Top of The Capital,392074908,Jerry,,SIXTH WARD,42.65262,-73.76134,Entire home/apt,103,2,0,,,3,356,0,
1043565517982254841,2 bed room Apartment,212885959,Osas,,SECOND WARD,42.63976,-73.75705,Entire home/apt,83,1,18,2024-10-28,1.40,1,164,14,
1124632058968031818,Modern Duplex - Historical Home,46312980,Robert,,SECOND WARD,42.646032,-73.760482,Entire home/apt,94,3,4,2024-08-24,0.37,2,231,4,
662132809952482192,Beautiful 4 bedroom house Large eat in kitchen,466389096,Patrice,,FIRST WARD,42.6378819,-73.7715269,Entire home/apt,125,7,2,2024-08-12,0.06,2,273,1,
898743867240851780,"Airy 5Br-2Ba,Kids Rm, 6TVs,Pvt Fence-yard&Parking!",516414095,Rashawn,,TENTH WARD,42.66087,-73.78655,Entire home/apt,237,2,49,2025-01-26,2.36,1,74,19,
50354540,Heart of Center Square: Designer 2-Bed Retreat,188679144,Elizabeth,,SIXTH WARD,42.65333,-73.76402,Entire home/apt,101,3,14,2024-08-25,0.31,8,346,5,
1052381112116173923,Charming Bungalow in Albany!,52464523,Dashima,,FIRST WARD,42.64081,-73.77463,Entire home/apt,114,30,7,2025-01-01,0.49,1,120,6,
757342235277207834,Elegant Studio in Center Square,188679144,Elizabeth,,SIXTH WARD,42.65534,-73.76461,Entire home/apt,63,7,13,2024-12-05,0.47,8,335,3,
